Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2012-06-22,LYF,2013-07-12,CRS,06_22,L005 above ground,110,17,"All images are black and white, hard to tell scratches and soil texture from roots; L005 above ground; L105 water streak determined to not be a root"
Corn,0,2,0C2,2012-06-22,LYF,2013-07-12,CRS,06_22,L005 scratched,100,16,"All images are black and white; L005 scratched and multi-textered soil has small, indescernable roots; L065 has tons of root hairs but too blurred to trace (normal roots traced)"
Corn,0,3,0C3,2012-06-22,LYF,2013-07-12,CRS,06_22,0,95,15,
Corn,0,4,0C4,2012-06-22,LYF,2013-07-12,CRS,06_22,,65,12,
Corn,0,5,0C5,2012-06-22,LYF,2013-07-22,CRS,06_22,,60,10,"All images are black and white; L095+ out of focus/watery, but no roots visible"
Corn,0,6,0C6,2012-06-22,LYF,2013-07-23,CRS,06_22,L070 blur,65,10,All images are black and white
Corn,0,7,0C7,2012-06-22,LYF,2013-07-23,CRS,06_22,L080 blur,70,10,All images are black and white
Corn,0,8,0C8,2012-06-22,LYF,2013-07-23,CRS,06_22,L070-80 blur,95,12,L010 is black and white
Corn,1,9,1C1,2012-06-20,TAW,2013-07-16,JNR,06_20,,85,9,
Corn,1,10,1C2,2012-06-20,TAW,2013-07-16,JNR,06_20,,75,15,
Corn,1,11,1C3,2012-06-20,TAW,2013-07-16,JNR,06_20,,90,14,
Corn,1,12,1C4,2012-06-20,TAW,2013-07-16,JNR,06_20,,75,12,
Corn,2,13,2C1,2012-06-20,TAW,2013-07-17,JNR,06_20,,90,5,
Corn,2,14,2C2,2012-06-20,TAW,2013-07-17,JNR,06_20,,95,12,
Corn,2,15,2C3,2012-06-20,TAW,2013-07-17,JNR,06_20,,80,7,
Corn,2,16,2C4,2012-06-20,TAW,2013-07-17,JNR,06_20,,85,16,
Corn,3,17,3C1,2012-06-20,TAW,2013-07-23,CRS,06_20,"L025 blur/covered; L095,105 blur",90,14,L025 is blurred and half the tube is covered by dirt
Corn,3,18,3C2,2012-06-20,TAW,2013-07-23,CRS,06_20,"L015,60 blur",80,10,Tube is low bat
Corn,3,19,3C3,2012-06-21,TAW,2013-07-24,CRS,06_21,,70,9,Finally some good tubes!
Corn,3,20,3C4,2012-06-20,TAW,2013-07-24,CRS,06_20,L005 above ground,90,13,"I spoke too soonÉ tube is low bat; L070 has tons of small roots,  only ones with clear dimensions traced"
Corn,4,21,4C1,2012-06-21,LYF,2013-07-17,JNR,06_21,L010 too blurry but has roots,95,14,blurry root frame included in frames with roots count.
Corn,4,22,4C1,2012-06-21,LYF,2013-07-17,JNR,06_21,,85,4,L001 and L005 above ground
Corn,4,23,4C3,2012-06-21,LYF,2013-07-17,JNR,06_21,L005 is too blurry,90,5,
Corn,4,24,4C4,2012-06-21,LYF,2013-07-17,JNR,06_21,L001-L015 all blue screen.,95,4,L001-L015 blue screen
Miscanthus,0,25,0M1,2012-06-22,LYF,2013-07-24,CRS,06_22,"L001 above ground, L005 is label; L040-50, 90-105 water",85,11,All images are black and white; L005 above ground; L090-105 water
Miscanthus,0,26,0M3,2012-06-22,LYF,2013-07-24,CRS,06_22,"L105,110 scratches",100,12,All images are black and white
Miscanthus,0,27,0M5,2012-06-22,LYF,2013-07-24,CRS,06_22,"L020,110 root dimensions not clear; L060 blur;",105,14,labeled 30; All images are black and white; L005 some roots behind soil but can't discern dimensions bcus no color (1 traced and image counted as good); L020 has too many textures to trace with black and white
Miscanthus,0,28,0M6,2012-06-22,LYF,2013-07-25,CRS,06_22,"L005 above ground; L065,75 blur",110,15,"All images are black and white; L080 tube cracked but image good; L060+ has fog or something, reducing ability to find roots by that much more. If the camera were low bat we'd have the trifecta"
Miscanthus,0,29,0M7,2012-06-22,LYF,2013-07-25,CRS,06_22,L090 water ,100,15,White things at L030 not roots (or atleast not well enough defined to be traced)
Miscanthus,0,30,0M9,2012-06-22,LYF,2012-07-25,CRS,06_22,,110,17,Water streak L010 looks like root
Miscanthus,0,31,0M10,2012-06-22,LYF,2012-07-25,CRS,06_22,,110,15,
Miscanthus,0,32,0M11,2012-06-22,LYF,2012-07-25,CRS,06_22,,110,21,
Miscanthus,1,33,1M1,2012-06-20,TAW,2013-07-17,JNR,06_20,,100,16,
Miscanthus,1,34,1M2,2012-06-20,TAW,2013-07-17,JNR,06_20,,100,13,
Miscanthus,1,35,1M4,2012-06-20,TAW,2013-07-17,JNR,06_20,L040-L045 blurry,95,10,labeled 1m4ÉL001 above ground  (L040 and L045 included in root count)
Miscanthus,1,36,1M4,2012-06-20,TAW,2013-07-17,JNR,06_20,L035 blurry,90,8,L001 above ground
Miscanthus,2,37,2M1,2012-06-20,TAW,2013-07-17,JNR,06_20,,100,16,
Miscanthus,2,38,2M2,2012-06-20,TAW,2013-07-17,JNR,06_20,,80,15,L001 above ground
Miscanthus,2,39,2M3,2012-06-20,TAW,2013-07-17,JNR,06_20,,85,13,L001-L010 ducktaped
Miscanthus,2,40,2M4,2012-06-20,TAW,2013-07-17,JNR,06_20,,95,13,
Miscanthus,3,41,3M1,2012-06-20,TAW,2013-07-25,CRS,06_20,"L005 above ground; L030, 80, 90, 95 ,110 blur",105,13,"Tube is low bat; either bcus of low bat or out of focus, but the whole tube is slightly fuzzy-- still can trace most except for small roots"
Miscanthus,3,42,3M2,2012-06-20,TAW,2013-07-25,CRS,06_20,"L010, 70-85, 100, 105 blur; L100 barely blurry but can't discern the sides of 50% of the roots (throw out)",110,13,Tube is low bat
Miscanthus,3,43,3M3,2012-06-20,TAW,2013-07-25,CRS,06_20,"L060-70, 80, 85, blur; 75 blur, but roots underestimated pretty well (decide if bad or not); L090 blur but large white root across screen traced (can't see small roots, decide if bad or not); L110 blur, can't see small root edges (not traced)",90,9,"*** Consider tossing out L060+, most are too blurry to see small roots, but some have big roots (see ""Bad frames"" AND notes >> Tube is low bat; L010 has scratch down middle (not a root, looks to be in the foreground [hah, get it? Ground]); L035 low flash (but nice white root)-- pic still good"
Miscanthus,3,44,3M4,2012-06-20,TAW,2013-07-25,CRS,06_20,"L005 above ground; L075, 95, 105 blur",110,14," Tube is low bat; again, everything is a little blurry"
Miscanthus,4,45,4M1,2012-06-21,LYF,2013-07-17,JNR,06_21,,100,16,
Miscanthus,4,46,4M2,2012-06-21,LYF,2013-07-17,JNR,06_21,L100 is blurry but no roots,90,6,
Miscanthus,4,47,4M3,2012-06-21,LYF,2013-07-18,JNR,06_21,,95,14,
Miscanthus,4,48,4M4,2012-06-21,,2013-07-18,JNR,06_21,,100,16,
Switch,0,49,0S2,2012-06-22,LYF,2013-07-26,CRS,06_22,,110,20,All images are black and white
Switch,0,50,0S3,2012-06-22,LYF,2013-07-26,CRS,06_22,L090-110 half/whole frames covered in dirt,85,14,All images are black and white
Switch,0,51,0S5,2012-06-22,LYF,2013-07-26,CRS,06_22,L005 above ground; L010 daylight; L105 blur,110,12,"L020,25 low bat"
Switch,0,52,0S6,2012-06-22,LYF,2013-07-26,CRS,06_22,"L005 above ground; L025,105 blur",110,16,
Switch,0,53,0S8,2012-06-22,LYF,2013-07-26,CRS,06_22,,110,22,
Switch,0,54,0S9,2012-06-22,LYF,2013-07-29,CRS,06_22,"L015 half covered; L080-100 water; L095,100 tube cracked",110,15,"All images are black and white; L060 has some water, but no white roots visible behind it anyways; Medium water damage/vapor L080+, but no small roots can be seen since it's black and white (throw out)"
Switch,0,55,0S12,2012-06-22,LYF,2013-07-29,CRS,06_22,,105,21,labeled 0s12; L015 large water streak not a root
Switch,0,56,0S12,2012-06-22,LYF,2013-08-16,CRS,06_22,"L010, 15 fuzzy",100,19,"Top of this tube is pretty fuzzy (ex L020), traced what I could"
Switch,1,57,1S1,2012-06-20,TAW,2013-07-18,JNR,06_20,,95,15,
Switch,1,58,1S2,2012-06-20,TAW,2013-07-18,JNR,06_20,L050 and L070 has roots but blurry,100,20,
Switch,1,59,1S3,2012-06-20,TAW,2013-07-18,JNR,06_20,L045 has roots but is blurry,85,3,L001-L010 above ground
