"","oaall.Img","oaall.ImgID"
"1","CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg","1"
"2","CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg","2"
"3","CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg","3"
"4","CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg","4"
"5","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","5"
"6","CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg","6"
"7","CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg","7"
"8","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","8"
"9","CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg","9"
"10","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","10"
"11","CONSISTEST_T001_L011_2011.06.06_155541_001_CKB.jpg","11"
"12","CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg","12"
"13","CONSISTEST_T001_L013_2011.06.06_155541_001_CKB.jpg","13"
"14","CONSISTEST_T001_L014_2011.06.06_155541_001_CKB.jpg","14"
"15","CONSISTEST_T001_L015_2011.06.06_155541_001_CKB.jpg","15"
"16","CONSISTEST_T001_L016_2011.06.06_155541_001_CKB.jpg","16"
"17","CONSISTEST_T001_L017_2011.06.06_155541_001_CKB.jpg","17"
"18","CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg","5"
"19","CONSISTEST_T001_L019_2011.06.06_155541_001_CKB.jpg","19"
"20","CONSISTEST_T001_L020_2011.06.06_155541_001_CKB.jpg","20"
"21","CONSISTEST_T001_L021_2011.06.06_155541_001_CKB.jpg","21"
"22","CONSISTEST_T001_L022_2011.06.06_155541_001_CKB.jpg","22"
"23","CONSISTEST_T001_L023_2011.06.06_155541_001_CKB.jpg","23"
"24","CONSISTEST_T001_L024_2011.06.06_155541_001_CKB.jpg","24"
